Company Name,Website,Phone,Industry,Company Size,Headquarters,Type,Founded,Location,Specialties
Solthis,http://www.solthis.org,,Philanthropy,51-200 employees,"Paris, Ile-de-France",Nonprofit,2003,,"Healthcare, health system strenghtening, HIV/AIDS , Hepatitis, Tuberculosis, Ebola, Newborn, child and mother healthcare, Santé materno-infantile, VIH/ sida, Hépatites, Tuberculose, Ebola, Renforcement des systèmes et services de santé, sexual and reproductive health, and santé sexuelle et reproductive"
Sahara,http://www.saharanr.com,,Mining & Metals,51-200 employees,"Accra, Accra",Privately Held,2010,,"Mining Services, Exploration Services, Drilling, Geotechnical, Consulting / Studies /Audits, Training, Surveying, Corporate Support Services, Security, Infrustructure, Burkina FAso, Ghana, Sudan, West Africa, Africa, Mining Services, and EPCM"
OBT Shipping Group,http://www.obts.dk,‭+97142400994‬,Maritime,201-500 employees,"Jumeirah Lakes Towers, Dubai",Privately Held,2004,,"Vessel Agency, Shipping, Logistics, Project Cargo & Heavy Lift, Chartering, Warehousing, International Supply Chain Management, Cruise Service, Oil & Gas, Mining & Energy, Stevedoring, Husbandry, and Offshore Support"
JOBOMAX Global,https://africa-housing.com/?utm_source=linkedin,,Real Estate,11-50 employees,"Philadelphia, PA",Privately Held,2005,,"International Trade, International Development, Africa, Real Estate, Construction, Real Estate Finance, Diaspora Remittances, Social Impact Investing, Impact Investing, and Affordable Housing"
Bourse de Sous-Traitance et de Partenariats Guinée (BSTP),http://www.sous-traitancegn.com,,Government Administration,2-10 employees,"Dixinn, Conakry",Nonprofit,2018,"Commandanya, Dixinn, Conakry BP 457, GN","local content, mining, capacity building, access to finance, partnerships, tenders, bids, outsourcing, private sector, SMEs, contracts, investments, agriculture, construction, transportation, logistics, banking, and assurance"
CAWA GROUP,https://www.cawagroup.com/,,Human Resources,2-10 employees,"Conakry, Conakry",Privately Held,2017,"Blue Zone Dixinn Gare, Conakry, Conakry 1474, GN","Ressources humaines, Recrutement, Externalisation de la paie, Intérim, Formation, Audit Social, Sourcing, and Assessment"
Agence Nationale de Sécurité Sanitaire,http://www.anss-guinee.org,621821323,Government Administration,11-50 employees,"Conakry, Conakry",Government Agency,2016,"info@anss-guinee.org, Conakry, Conakry 797, GN",Santé publique
ANIES Guinée,http://www.primature.gov.gn/?fbclid=IwAR1TdMdhBmvVAEbr1k74tv3BigXCbBpTOdrV6KNNfGz2dOYSsRqMiGoZ3CU,,Non-profit Organization Management,11-50 employees,"Conakry , Conakry",Nonprofit,,"Palais de la colombe 5141 Conakry, Conakry , Conakry 5141 , GN",
ETI SA,http://www.eti.net.gn,,Information Technology & Services,51-200 employees,,Partnership,1985,"BP 5675, Boulevard du Commerce, CONAKRY, 0001, GN","SOLUTIONS TELECOMS D'ENTREPRISE, HOSPITALITY, SOLUTIONS IT & INTEGRATION DE SYSTEME, ERP & PROGICIELS DE GESTION INTEGREE, and DEVELOPPEMENT D'APPLICATIONS METIERS & SOLUTIONS BIOMETRIQUES"
HMD Africa,http://www.hmd-africa.com,+234 (0) 81 8502 2222,Machinery,51-200 employees,"Lagos, Nigeria",Public Company,2003,,
Lutinx Inc.,https://lutinx.com,+1 718 502 6961,Internet,51-200 employees,"Miami Beach, Florida",Privately Held,2021,,"Blockchain, Artificial Intellicence, Skills traceability, Data traceability, Cybersecurity, Digital credentials, Digital Identity, and Supply chain traceability"
Ziejobs,https://ziejobs.com/,,Staffing & Recruiting,2-10 employees,,Privately Held,,,"Recrutement, Enseignement d'anglais gratuit, and Creation de sites web"
Intellact Consulting,http://www.intellactgn.com,2.25E+11,Management Consulting,11-50 employees,"Conakry, Basse Guinée",Privately Held,2006,"Nongo, Conakry, Basse Guinée 0001, GN","Gestion stratégique des ressources humaines, Conseil, Juridique, Relations publiques, Assistance juridique et fiscale, and Gestion de projet"
Webb Fontaine,http://www.webbfontaine.com,+971 4 449 53 72,International Trade & Development,"501-1,000 employees","Dubai, Media City",Public Company,2002,,"Single Window and Customs systems, Valuation & Classification, Port Solutions , Customs Technology , Trade Technology , Governmental Reforms , Trade Compliance , Commodity Inspection and Testing Services, and Trade Compliance Solutions"
AngloGold Ashanti SAG Siguiri,http://www.anglogoldashanti.com,,Mining & Metals,"1,001-5,000 employees","Conakry, Siguiri",Partnership,,"Conakry, Siguiri GN",
GUILAB SA,http://www.guilab.com.gn,,Telecommunications,11-50 employees,,Privately Held,2013,"Centre Emetteur de Kipé, Conakry, 1809, GN",
Le Salon des Entrepreneurs de Guinée,http://www.salondesentrepreneursdeguinee.com,,Events Services,11-50 employees,,Privately Held,2019,"Siège AGUIPE, Conakry, GN",
Institut de Formation et d'Expertise Juridique (IFEJ),http://www.institut-ifej.com,,Professional Training & Coaching,0-1 employees,"Commune de Ratoma, Conakry",Privately Held,2017,"Quartier Kipé, Commune de Ratoma, Conakry BP. 3223 , GN",
SKYVISION GUINEE,http://Www.skyvisiongn.net,+224 661 10 00 01,Telecommunications,11-50 employees,"Conakry, Conakry",Privately Held,,"Conakry, Conakry 224, GN",
Thiam & Associés,https://www.thiam-associes.com/,2.25E+11,Law Practice,11-50 employees,"Conakry, Conakry",Partnership,2016,"Carrefour Kipé – Centre Emetteur Commune de Ratoma BP 781 Conakry (République de Guinée), Conakry, Conakry 781, GN",
Atiko Guinée,http://www.atiko.com,,Machinery,201-500 employees,,Privately Held,,"BP 336 CONAKRY - GUINEE , Conakry, GN",
CIMAF GUINÉE,http://www.cimentsafrique.com,+224 628 68 98 19,Construction,51-200 employees,"Conakry, Conakry",Privately Held,2013,"Zone industrielle Kagbelen, Conakry, Conakry 1775, GN","Construction, Fabrication de ciment, Commercialisation de ciment, Industrie, and Usine de dernière technologie"
Cercle Droit et Conformité de Guinée,,,Civic & Social Organization,51-200 employees,"Conakry, Basse Guinée",Privately Held,2021,"Conakry, Basse Guinée 3621, GN",Droit and Conformité
Kunfabo,http://www.kunfabo.com,669087613,Consumer Electronics,2-10 employees,"Conakry, Conakry",Sole Proprietorship,2016,"Conakry, Conakry 466, GN",technologie
SYLAM Technologies GROUP SAS,https://www.sylamtechgroup.com,2.21E+11,Telecommunications,11-50 employees,"Dakar, Sénégal,dakar",Privately Held,2014,,"videoconference, telephony IP, security access, network, data center, and IT infrastructure"
Orange GN,http://www.orange-guinee.com,,Telecommunications,201-500 employees,"Conakry, Guinée",Privately Held,,"Boulevard Bellevue, Commune de Dixinn/Immeuble Bellevue, Conakry, Guinée 4549, GN",
IHDLife,https://protect.ihdlife.ch,,Hospital & Health Care,51-200 employees,,Privately Held,2020,,
Guinean Young Professionals' Club,http://www.gypc224.com,+ 224 624 34 00 05,Civic & Social Organization,11-50 employees,"Conakry, Conakry",Nonprofit,2015,"Conakry, Conakry, Conakry NA, GN","investissements, financements, entrepreunariat, and philantropie"
CINETPAY,http://www.cinetpay.com,2.25E+12,Financial Services,11-50 employees,"Abidjan, Régions des Lagunes",Partnership,2016,,"Paiement mobile, Mobile money, e-commerce, TPE Mobile Money, and Passerelle de paiement mobile money"
United Mining Supply SA,http://www.ums-international.com,,Mining & Metals,"1,001-5,000 employees","Conakry, Conakry",,2002,"Tombo 1, Kaloum, Conakry, Conakry BP2162, GN",
INSUCO,http://www.insuco.com,,Research,51-200 employees,"Winnersh, England",Privately Held,2010,,"Baseline Studies, Specific Studies, Social Impact Assessments (SIA), Legal Review, and Resettlement Action Plan (RAP)"
AFRICA PORTS AND AIRPORTS,https://www.africa-port.com/,+224 628 68 47 00,Logistics & Supply Chain,11-50 employees,"conakry, Kaloum",Privately Held,,"Cité chemin de fer, conakry, Kaloum 224, GN",
SMB-WINNING CONSORTIUM,http://www.smbwinning.com,,Mining & Metals,"10,001+ employees",,Privately Held,,"Camayenne corniche sud (derrière camp Boiro), Commune de dixinn, Conakry, BP: 2162, GN",
Cellcom Guinée,http://www.gn.cellcomgsm.com/default.aspx,,Telecommunications,201-500 employees,,Privately Held,,GN,"Téléphonie, Internet, and Télécommunication"
Sofamer Guinée,http://www.sofamer.com,+224 629 40 01 01,Packaging & Containers,51-200 employees,"Conakry, Guinée",Privately Held,2013,"Immeuble GKI, Lambanyi en face de Vista Bank, Conakry, Guinée 3129, GN","bobine plastique, machine ensacheuses, station de filtrage, recyclage, bouteille plastique, and sac plastique personnalisé"
TEAM Engineering SpA,http://www.teamgroup.it,+39 6 5343520,Civil Engineering,201-500 employees,,Privately Held,1974,,"1. Infrastructures for transport, 2. Building and Urban Development, 3. Highways/Roadways, 4. Masterplanning, 5. Railways, 6. Civil Engineering, 7. Airports, 8. Feasibility Studies, 9. PPP, 10. Consultancy Services, 11. Works Supervision, 12. Quality Control, 13. Detailed Design, 14. Transport Planning, 15. Multimodal Urban Mobility, 16. FIDIC, 17. PRAG, 18. Structural Engineering, 19. Transport Systems, and 20. Rail Solutions"
Journal 224business,http://www.224business.com,,Online Media,11-50 employees,"Conakry, Conakry",Partnership,2015,"Kaloum, Conakry, Conakry 3224, GN","Publications Appel d'offres, Publications Offres d'emploi, Journal, and Communiqué"
KAMSAR PETROLEUM,https://kamsarpetroleum.com/,+224 662 22 20 55,Oil & Energy,201-500 employees,,Privately Held,2015,"Conakry, GN",
Société des Mines de Fer de Guinée (SMFG),http://www.smfg.com,,Mining & Metals,201-500 employees,,Privately Held,,"Conakry, GN",
American International Gemologists; AIG Appraisal,http://www.aiglabs.com,,Luxury Goods & Jewelry,2-10 employees,"Atlanta, Georgia",Privately Held,1987,,"""While you Watch and While you Wait"" Gem & Jewelry Appraisals"
Université Française de Guinée,https://ufg.education/,660 14 74 78,Higher Education,11-50 employees,,Educational Institution,2015,"Virage de l'Hôtel du Nord, Commune de Ratoma, Conakry, GN","Marketing, Commerce, Administration Gestion, Administration Ressources Humaines, Administration Systèmes d'Information, Affaires Internationales, Ressources Humaines, Gestion & Finance, Communication Digitale, Digital Project Management, Projets Informatiques, and Entrepreunariat"
HSD Human Resource Solutions,http://www.hsd-melt.com,,Human Resources,11-50 employees,"Lemesos, Cyprus",Public Company,,,"Employee Training & Development, Recruitment - Global Sourcing, Contract Recruitment, Employee-Employer Relation, Health & Safety, Team Management, Human Resource Strategy, Personnel temporaire, Externalisation de la paie, Recrutement local et international, Formation professionnelle, and Conseil"
SAAR ASSURANCES GUINEE,http://www.saar-assurances.com/fr,,Insurance,11-50 employees,"Conakry, Conakry",Privately Held,2013,"Conakry, Conakry +224, GN","Assurances, Gestion des risques, Responsabilité Civile, Multirisques, Globale de banque, Tous risques Chantiers, Risques miniers, Risques Agricoles, Automobile, Protection Sociale, Transports de marchandises, Accidents, and Bancassurance"
IMMIGRATION CANADA LA REFERENCE,http://lareference.ca/,15146530645,Individual & Family Services,51-200 employees,"MONTREAL, QUEBEC",Privately Held,2017,,"Immigration, Demande d`asile, Immobilier, and Emploi"
GROUPE ITECH SOLUTIONS,http://www.itechafrique.com,,Information Technology & Services,11-50 employees,"Dakar, Sénégal",Privately Held,2009,,"SAGE, Microsoft, Cisco, Cisa, audit, and security"
Astra Aviation Services,http://www.astra-aviation.com,,Airlines/Aviation,51-200 employees,"Burnham, Bucks",Privately Held,2005,,"African landing and overflight permits, flight support, airline management, airport management, flight supervision, and aviation consultancy"
CSTT-AO GROUP,,+221 33 849 49 39,Logistics & Supply Chain,"501-1,000 employees",,Privately Held,1949,,"Logistics, Supply Chain Management, Strategic Procurement, Global Sourcing and Order Management, Storage & Distribution, Transportation, and Chartering"
ONG Tinkisso,http://www.tinkissogn.org,,Philanthropy,201-500 employees,"Conakry , Conakry",Nonprofit,,"Conakry , Conakry 2045, GN",
The CSP Foundation,https://www.thecspfoundation.org,,Philanthropy,51-200 employees,"Washington , DC",Nonprofit,,,
En+ Group,http://www.enplus.ru/en/index.html,,Mining & Metals,"10,001+ employees","Moscow, Russia",Public Company,2002,,"Aluminium , Energy , Hydro Power , Metals , and Renewable Energy"
GPC Group,https://www.gpc-groupe.com/,,Construction,201-500 employees,,Partnership,,"Conakry, Kipe T2, GN",
OLEA Niger,https://www.olea.africa/niger.php,+227 91 83 27 27,Insurance,2-10 employees,,Privately Held,2019,,"Insurance, Brokerage, Multinational, Reinsurance, Africa, and Audit"
Coopérative pour l'Agriculture et la Production Animale (CAPA),http://www.capascoops.com,+224 666 24 24 80,Farming,2-10 employees,"Conakry, Conakry",Partnership,2017,"Quartier Kaporo, Commune de Ratoma, Conakry, Conakry 4447, GN","Agriculture, Elevage, Commercialisation de produits agricoles et d'élevage, Formation, Location de matériels agricoles, and Gestion d'exploitations agricoles"
Groupe Kallan International S.A,https://groupekallan.com,+224 620574242,International Trade & Development,51-200 employees,,Privately Held,2013,"Immeuble GKI, Lambanyi en face de Vista Bank, Conakry, 3129, GN","Industrie, Emballages Plastiques, Commerce, Transport, and Recyclages Plastiques"
LeKaloum,http://lekaloum.com,,Media Production,2-10 employees,"Conakry, Conakry",Privately Held,2018,"conakry, Republic of Guinea, Conakry, Conakry 1, GN",
Louis Berger International,https://louisbergerinternational.com/,,Civil Engineering,"1,001-5,000 employees",,Sole Proprietorship,1953,,
APS HOLDINGS,http://www.africapowersolutions.com,23230140808,Mining & Metals,201-500 employees,"Dubai, Dubai",Public Company,2018,,"Electrical Maintenance, Electrical Installations, Power Distribution Installation, Maintenance & Management, E&I Construction Projects, Mechanical Maintenance, Mechanical Construction, Industrial Services, Power Plant Maintenance & Management, Hydraulic Products & Services, Online Asset Maintenance & Management Systems, Process Services, Training Services, Project Procurement & Outsourced WMS Systems, Tank Farm Design & Construction, Equipment Rental, and Pipeline Pre-Commissioning"
Sycamore Mine Guinèe SAU,https://sycamore-mining.com/,,Mining & Metals,51-200 employees,,Privately Held,2018,"Kiniero, GN","mining, sustainibilty, and social engagement"
HGS International,http://www.hgs-gh.com,,Mining & Metals,51-200 employees,"Heavy Industrial Area, Tema",Privately Held,2006,,"Hoses & Fittings, Hydraulics, Mining, Oil & Gas, Construction, Industrial, Automatic Lubrication, Pumps, Fire Suppression, Workshop Set-up, Meters, Environmental Solutions, Diesel Farms, Total Asset Protection, Hose Reels, and Fuelling Systems"
BlackCab Guinée,http://www.blackcab-guinee.com,2.25E+11,Transportation/Trucking/Railroad,11-50 employees,"Conakry, Conakry",Privately Held,2017,"Ratoma Bonfi, Conakry, Conakry BP 5757, GN","taxi, car rental, shuttle service, airport transport, blackcab, and school shuttle"
GROUPE GUICOPRES: Entreprise de bâtiment et de travaux publics,http://groupe-guicopres.com,,Construction,201-500 employees,"Conakry, Guinée",Sole Proprietorship,2009,"Rue KA 003, Almamiyah, Commune de Kaloum, BP 2150 Conakry ,République de Guinée, Conakry, Guinée +224, GN","Batiment et Génie civile, Routes., Meubles de maison, Mobilier de bureau, Electroménager,, Location, vente, Location-vente, Bail, and Fret aerien et maritime, Consignation et manutention, Transport, Logistique et demenagement"
ETS. THIERNO ET FRÈRES,https://www.facebook.com/ets.thiernoetfreres1,2.25E+12,Electrical & Electronic Manufacturing,11-50 employees,"Matam, Conakry",Privately Held,2010,"Mag. C27 Madina Niger Face PROGUI, Tél (+224) 628299571 / 664507240, Matam, Conakry 00224, GN","Fils et câbles électriques, Réglettes ordinaires et LED, Interrupteurs et prises domestiques et industriels, Ampoules Economiques et LED, Autres luminaires industriels et commerciaux, Disjoncteurs ordinaires tous types, Disjoncteurs différentiels tous types , Disjoncteurs compacts tous types, Goulottes tous types, Chemins de câbles tous types , Autres accessoires électriques, Lampadaires, Projecteurs, spots ordinaires et LED, Inverseurs avec ou sans armoire, Contacteurs et relais, Autres matériels et équipements industriels, Gaines rigides, flexibles et autres accessoires électriques, Batteries et pneus voitures, 4x4 et camions/engins lourds, électroménagers et solaire, Panneaux solaires, Batteries solaires, Onduleurs, Trasnformateurs EDG, Câbles CUIVRE, ASTER et ALMELEC, PV MODULES, and RENEWLABLE ENERGY"
KiwiGo - KiwiPay,https://www.kiwigo.app,85281927719,Financial Services,201-500 employees,,Partnership,2016,,"Food Delivery, Logistic, Hotel Booking, Evisa, Visa On Arrival, FinTech, Emerging Markets, Frontier Markets, QR Code, Taxi, Online Payment, Payment Service Provider, Last Mile Delivery, and Money Remittance"
LDPL,http://www.ldpl.com/index.php,,Logistics & Supply Chain,,,,,,
Youpal Group,https://youpalgroup.com,,Information Technology & Services,11-50 employees,"Stockholm, Stockholm County",Privately Held,2016,,"Digital Strategy, Creative Content, Mobile, Web, Social Media Marketing, Market Disruption, Enterprise Applications, Blockchain, Machine Learning, Data Visualisation, Cloud, Digital Transformation, Talent Development, Gig Economy, Drupal, React, and React Native"
Agence Guinéenne pour le Financement du Logement (AGUIFIL),http://www.aguifil.gov.gn,+224 660 40 00 40,Government Administration,11-50 employees,,Government Agency,2019,"Kaloum, Conakry, GN",
Pole Emploi Guinée,http://pole-emploiguinee.com,,Staffing & Recruiting,2-10 employees,"Conakry, Guinea",Nonprofit,2015,"Conakry Lambandji, Conakry, Guinea 2235, GN","offres d'emploi, Offres de stage, and Stage alternance"
SAKOM,http://www.sakomgn.com,,Marketing & Advertising,2-10 employees,,Privately Held,,"Conakry, GN","Relations Publiques, Evenementiel, Relations communautaires, Publicité, Marketing, and Affaires Publiques"
Electricité De Guinée,https://edg.com.gn/,,Government Administration,"1,001-5,000 employees",,Government Agency,1962,"BP: 1463-Conakry-République de Guinée , Conakry , BP: 1463, GN",Électricité
Topaz Multi Groups,,,Business Supplies & Equipment,"1,001-5,000 employees","conakry, conakry",Public Company,,"Conakry , conakry, conakry CKY001, GN",
SABOUTECH,http://www.saboutech.org,628756158,Information Technology & Services,2-10 employees,,Nonprofit,2015,"Avenue Malick SY Dakar, Conakry, GN","Incubation, Création d'entreprise, Aide à la recherche de financement, Formation, Accompagnement, Evènementiel, and Business Development Services"
Friendina College,http://friendinacollege.com/,22570358755,E-learning,"501-1,000 employees",,Educational Institution,2015,,"1000, 10000, and 1000000000000"
Go Africa Online,https://www.goafricaonline.com,+225 22 41 04 17,Internet,51-200 employees,"Abidjan, Abidjan",Privately Held,2012,,
KABELE LAW GROUP,http://kabelelaw-group.com/,,Law Practice,11-50 employees,"Conakry, kaloum",Privately Held,,"2e Etage Immeuble Deed Ossaily, Conakry, kaloum 4057, GN",
Société des Bauxites de Guinée,https://www.metalcorpgroup.com/bauxite-alumina/,,Mining & Metals,201-500 employees,,Privately Held,2010,"Conakry, GN",
Elite Mining Guinea SA,http://www.eliteguinee.com,+224 622066762,Mining & Metals,51-200 employees,"Conakry, Ratoma",Sole Proprietorship,2019,"Conakry, Ratoma 1020, GN",
"Ministry of Economy and Finance, Guinea",http://www.mef.gov.gn,,Government Administration,"1,001-5,000 employees","Conakry, Guinée",Government Agency,1958,"Boulevard du Commerce, Boulbinet, Conakry, Guinée BP579, GN",
Bureau d'Exécution Stratégique - Primature Guinée,http://Bes.gov.gn,,Government Administration,51-200 employees,,Government Agency,,"République de Guinée, GN",
BATIPRO sa,http://www.batiprobtp.com,,Construction,201-500 employees,,Partnership,2001,"2345 Conakry, Guinée, 4e etage immeuble en face de la mosquée tombo, Conakry, 2345, GN","Construction BTP, Constructioin Minière, Mise à disposition du Personnel, Sous-traitance Minière, and Distributeur Exclusif des Produits CONDOR"
Oyalex,http://www.oyalex.africa,,Publishing,2-10 employees,,Privately Held,2019,,
AMA GUINEE,http://www.amaguinee.com,,Logistics & Supply Chain,201-500 employees,,Privately Held,1979,"Cité chemin de fer, Immeuble KASSA, BP 6680, Conakry, GN","Shipping agency, Stevedoring, Maritime Transit, Air Freight, Trucking, Express Airfreight as TNT sole agent, and Logistics services to mining companies"
FreeLocalMappers,https://freelocalmappers.wordpress.com,669566565,Civic & Social Organization,2-10 employees,,Nonprofit,2016,"Conakry, GN",
Koprululer Cons. & Trade Inc.,http://www.koprululer.com.tr,9.03E+11,Construction,51-200 employees,"Ankara, Çankaya",Partnership,1996,,
SD AVOCATS - ALN GUINEA,https://www.africalegalnetwork.com/guinea-fr/,,Law Practice,2-10 employees,"Conakry, Guinea",Privately Held,2013,"Immeuble Tanya Immo, Conakry, Guinea BP3273, GN",
SOGUIPAMI,http://soguipami-gn.com/,,Mining & Metals,11-50 employees,,Government Agency,2011,"Immeuble Fria Base Kaloum 931, Conakry, GN",
TOP INDICE,http://rhprestationgn.com/,+224 626876155,Human Resources,2-10 employees,"Conakry, Guinée",Privately Held,2014,"Gbessia rond-point, Conakry, Guinée +224, GN","FORMATION, RESSOURCES HUMAINES, Elaboration et Proposition de Stratégies Commerciales, Enquête de Satisfaction, and RECRUTEMENT / INTERIM"
Neliko Santé & Sécurité au Travail,,2.25E+11,Professional Training & Coaching,2-10 employees,,Partnership,2018,"Conakry , GN","formation santé & sécurité au travail , certification ISO , and Sécurité incendie"
FITIMA (Fondation Internationale TIerno et MAriam),http://www.fitima.org,,Civic & Social Organization,11-50 employees,"Ratoma, Conakry",Nonprofit,2003,,"Soins Paramédicaux, Education spécialisée, Formations sur les droits des femmes, Plaidoyers & Sensibilisations , and Scolarisation des jeunes filles"
SERVITECH Group,https://www.servitech-afrique.com/,+221 33 859 12 66,Information Technology & Services,51-200 employees,,Privately Held,1996,,"Banking, ATM, PCI, Core Banking, and Oracle"
du n'importe quoi,http://www.hgxff,,Music,51-200 employees,,Privately Held,2015,"Kokolala, kokolala, GN","Exploitation minière, Bauxite, Mines, Production Aluminium, and Shipping"
EASY LINK GUINEA,https://www.easylinkgn.com,626 30 39 13,Marketing & Advertising,2-10 employees,"Conakry, conakry",Sole Proprietorship,2012,"Conakry, conakry 00224, GN","Digital marketing, creation de site internet, Alerte sms, CRM, Conseil et Stratégie Digitale, and Formation"
PRD RIGS,http://www.prdrigs.com,9786688799,Machinery,201-500 employees,"Perundurai, Tamil Nadu",Privately Held,1972,,"Water Well Drilling Rig, Exploration Rigs, Blast Hole Rigs, Construction & Special Purpose Equipments, Geo Technical Rigs, Drilling Tools & Accessories, Drilling Fluids, Mineral Extraction, prd rigs, drilling rigs, water, ground water, bore hole machines, DTH drilling rigs, Core drill, drilling equipment, piling rigs, bore hole drilling equipment in India, Mineral Extraction, mines, quarries, blasting, and drilling"
Souliss BTP,http://soulissbtpguinee.wordpress.com/,624274272,Construction,2-10 employees,"Conakry, Ratoma",Partnership,2018,"Conakry, Ratoma GN","Construction, Rénovation, Fourniture d'ouvriers, Études, Ingénierie, Conseils, and Gestion de main d'oeuvre"
Stubygroup,https://www.stubygroup.com/,00 224 622648117,Information Technology & Services,2-10 employees,"Conakry, Conakry",Privately Held,2018,,"Business Intelligence, Data sciences, Base de Données, Reporting, Analyse, Controle de gestion, Contrôle de gestion, IT-Management, Data Mining, Statistique, and intelligence artificielle"
